Name;Version;Publisher;Install Date & Time;Uninstall;Registry Hive;Registry Path
Greenshot 1.2.9.129;1.2.9.129;Greenshot;28/09/2018 10:36;"""C:\Program Files\Greenshot\unins000.exe"" /SILENT";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Greenshot_is1
IBM SPSS Statistics 25;25.0.0.0;IBM Corp;23/11/2018 11:51;MsiExec.exe /qn /norestart /X{C2D1E17D-CB8A-4742-84FA-1DB5C6A1ABDD};HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{C2D1E17D-CB8A-4742-84FA-1DB5C6A1ABDD}
Intel(R) Processor Graphics;24.20.100.6286;Intel Corporation;23/01/2019 11:34;"""C:\Program Files (x86)\Intel\Intel(R) Processor Graphics\Uninstall\igxpin.exe"" -uninstall";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{F0E3AD40-2BBD-4360-9C76-B9AC9A5886EA}
Java 8 Update 181 (64-bit);8.0.1810.13;Oracle Corporation;04/12/2018 16:43;MsiExec.exe /qn /norestart /X{26A24AE4-039D-4CA4-87B4-2F64180181F0};HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{26A24AE4-039D-4CA4-87B4-2F64180181F0}
Kaspersky Endpoint Security for Windows;11.0.0.6499;AO Kaspersky Lab;28/09/2018 10:50;MsiExec.exe /qn /norestart /X {E7012AFE-DB97-4B8B-9513-E98C0C3AACE3};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{E7012AFE-DB97-4B8B-9513-E98C0C3AACE3}
League of Legends;1.0;Riot Games, Inc;23/01/2019 20:07;"""C:\Riot Games\League of Legends\Uninstall League of Legends.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\League of Legends 1.0
LibreOffice 6.0.6.2;6.0.6.2;The Document Foundation;28/09/2018 10:38;MsiExec.exe /qn /norestart /X{31CEDF30-0453-42EB-B6F8-252CB804F03E};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{31CEDF30-0453-42EB-B6F8-252CB804F03E}
MathType 7;7.4.1;WIRIS;19/02/2019 14:26;"""C:\Program Files (x86)\MathType\Setup.exe"" -R";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\DSMT7
Mendeley Desktop 1.19.3;1.19.3;Mendeley Ltd.;24/01/2019 14:07;"""C:\Program Files (x86)\Mendeley Desktop\Uninstaller.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Mendeley Desktop
Microsoft Office Standard 2016;16.0.4266.1001;Microsoft Corporation;14/12/2018 10:48;"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Office Setup Controller\setup.exe"" /uninstall STANDARD /dll OSETUP.DLL";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Office16.STANDARD
